timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1714002320265,92,Home,200,,Linear - 50 4-50,text,true,,9118,209,1,1,92,0,41
1714002320358,107,Login,200,,Linear - 50 4-50,text,true,,9118,209,1,1,107,0,0
1714002320465,244,List Products,200,,Linear - 50 4-50,text,true,,123956,235,1,1,59,0,0
1714002320710,231,Look at Product,200,,Linear - 50 4-50,text,true,,126304,223,1,1,72,0,0
1714002320941,197,List Products with different page,200,,Linear - 50 4-50,text,true,,123024,235,1,1,72,0,0
1714002321138,96,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,1,1,96,0,0
1714002321234,97,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,1,1,97,0,0
1714002321331,83,Logout,200,,Linear - 50 4-50,text,true,,9118,209,1,1,83,0,0
1714002321414,76,Home,200,,Linear - 50 4-50,text,true,,9118,209,1,1,76,0,29
1714002321491,91,Login,200,,Linear - 50 4-50,text,true,,9118,209,1,1,91,0,0
1714002321582,224,List Products,200,,Linear - 50 4-50,text,true,,105228,235,1,1,74,0,0
1714002321806,210,Look at Product,200,,Linear - 50 4-50,text,true,,100585,223,1,1,93,0,0
1714002322016,165,List Products with different page,200,,Linear - 50 4-50,text,true,,103629,235,1,1,58,0,0
1714002322181,108,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,1,1,108,0,0
1714002322289,92,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,1,1,92,0,0
1714002322381,91,Logout,200,,Linear - 50 4-50,text,true,,9118,209,1,1,91,0,0
1714002322472,96,Home,200,,Linear - 50 4-50,text,true,,9118,209,1,1,96,0,40
1714002322568,104,Login,200,,Linear - 50 4-50,text,true,,9118,209,1,1,104,0,0
1714002322672,202,List Products,200,,Linear - 50 4-50,text,true,,97994,235,1,1,59,0,0
1714002322875,180,Look at Product,200,,Linear - 50 4-50,text,true,,102348,222,1,1,64,0,0
1714002323055,136,List Products with different page,200,,Linear - 50 4-50,text,true,,97994,235,1,1,52,0,0
1714002323191,88,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,1,1,88,0,0
1714002323279,86,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,1,1,86,0,0
1714002323365,84,Logout,200,,Linear - 50 4-50,text,true,,9118,209,1,1,84,0,0
1714002323449,98,Home,200,,Linear - 50 4-50,text,true,,9118,209,1,1,98,0,38
1714002323547,107,Login,200,,Linear - 50 4-50,text,true,,9118,209,1,1,107,0,0
1714002323655,241,List Products,200,,Linear - 50 4-50,text,true,,112658,235,2,2,60,0,0
1714002323863,91,Home,200,,Linear - 50 4-49,text,true,,9118,209,2,2,91,0,42
1714002323954,94,Login,200,,Linear - 50 4-49,text,true,,9118,209,2,2,94,0,0
1714002323896,202,Look at Product,200,,Linear - 50 4-50,text,true,,106888,223,2,2,84,0,0
1714002324048,213,List Products,200,,Linear - 50 4-49,text,true,,97994,235,2,2,58,0,0
1714002324098,188,List Products with different page,200,,Linear - 50 4-50,text,true,,110083,235,2,2,60,0,0
1714002324287,91,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,2,2,91,0,0
1714002324261,204,Look at Product,200,,Linear - 50 4-49,text,true,,104416,222,2,2,88,0,0
1714002324379,135,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,2,2,135,0,0
1714002324514,99,Logout,200,,Linear - 50 4-50,text,true,,9118,209,2,2,99,0,0
1714002324465,173,List Products with different page,200,,Linear - 50 4-49,text,true,,97994,235,2,2,92,0,0
1714002324614,91,Home,200,,Linear - 50 4-50,text,true,,9118,209,2,2,91,0,39
1714002324638,91,Add Product to Cart,200,,Linear - 50 4-49,text,true,,9792,213,2,2,91,0,0
1714002324705,92,Login,200,,Linear - 50 4-50,text,true,,9118,209,2,2,92,0,0
1714002324730,91,Add Product 2 to Cart,200,,Linear - 50 4-49,text,true,,9792,213,2,2,91,0,0
1714002324821,82,Logout,200,,Linear - 50 4-49,text,true,,9118,209,2,2,82,0,0
1714002324903,92,Home,200,,Linear - 50 4-49,text,true,,9118,209,2,2,92,0,43
1714002324797,248,List Products,200,,Linear - 50 4-50,text,true,,123956,235,2,2,60,0,0
1714002324995,109,Login,200,,Linear - 50 4-49,text,true,,9118,209,2,2,109,0,0
1714002325045,250,Look at Product,200,,Linear - 50 4-50,text,true,,123536,223,2,2,83,0,0
1714002325104,201,List Products,200,,Linear - 50 4-49,text,true,,112658,235,2,2,60,0,0
1714002325295,175,List Products with different page,200,,Linear - 50 4-50,text,true,,122227,235,2,2,53,0,0
1714002325306,188,Look at Product,200,,Linear - 50 4-49,text,true,,110306,223,2,2,64,0,0
1714002325471,91,Add Product to Cart,200,,Linear - 50 4-50,text,true,,9792,213,2,2,91,0,0
1714002325562,90,Add Product 2 to Cart,200,,Linear - 50 4-50,text,true,,9792,213,2,2,85,0,0
1714002325494,175,List Products with different page,200,,Linear - 50 4-49,text,true,,110494,235,2,2,60,0,0
1714002325653,87,Logout,200,,Linear - 50 4-50,text,true,,9118,209,2,2,87,0,0
1714002325670,88,Add Product to Cart,200,,Linear - 50 4-49,text,true,,9792,213,2,2,87,0,0
1714002325740,96,Home,200,,Linear - 50 4-50,text,true,,9118,209,2,2,96,0,40
1714002325758,89,Add Product 2 to Cart,200,,Linear - 50 4-49,text,true,,9792,213,2,2,89,0,0
1714002325847,84,Logout,200,,Linear - 50 4-49,text,true,,9118,209,2,2,83,0,0
1714002325836,104,Login,200,,Linear - 50 4-50,text,true,,9118,209,2,2,104,0,0
1714002325931,98,Home,200,,Linear - 50 4-49,text,true,,9118,209,2,2,97,0,45
1714002326029,108,Login,200,,Linear - 50 4-49,text,true,,9118,209,2,2,108,0,0
1714002325940,230,List Products,200,,Linear - 50 4-50,text,true,,105228,235,2,2,58,0,0
1714002326171,199,Look at Product,200,,Linear - 50 4-50,text,true,,102223,223,2,2,69,0,0
1714002326137,240,List Products,200,,Linear - 50 4-49,text,true,,123956,235,2,2,61,0,0
1714002326370,190,List Products with different page,200,,Linear - 50 4-50,text,true,,102963,235,2,2,60,0,0
1714002326377,233,Look at Product,200,,Linear - 50 4-49,text,true,,123782,223,2,2,84,0,0
