timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1714001836870,92,Home,200,,Spike - 100 2-10,text,true,,9118,209,1,1,92,0,41
1714001836962,109,Login,200,,Spike - 100 2-10,text,true,,9118,209,1,1,109,0,0
1714001837071,239,List Products,200,,Spike - 100 2-10,text,true,,112658,235,1,1,67,0,0
1714001837372,87,Home,200,,Spike - 100 2-9,text,true,,9118,209,2,2,87,0,36
1714001837310,211,Look at Product,200,,Spike - 100 2-10,text,true,,106888,223,2,2,82,0,0
1714001837459,94,Login,200,,Spike - 100 2-9,text,true,,9118,209,2,2,94,0,0
1714001837521,190,List Products with different page,200,,Spike - 100 2-10,text,true,,111860,235,2,2,66,0,0
1714001837553,189,List Products,200,,Spike - 100 2-9,text,true,,97994,235,2,2,64,0,0
1714001837711,106,Add Product to Cart,200,,Spike - 100 2-10,text,true,,9792,213,2,2,106,0,0
1714001837817,109,Add Product 2 to Cart,200,,Spike - 100 2-10,text,true,,9792,213,3,3,109,0,0
1714001837743,191,Look at Product,200,,Spike - 100 2-9,text,true,,103810,222,3,3,66,0,0
1714001837870,98,Home,200,,Spike - 100 2-8,text,true,,9118,209,3,3,98,0,45
1714001837926,85,Logout,200,,Spike - 100 2-10,text,true,,9118,209,3,3,85,0,0
1714001837934,134,List Products with different page,200,,Spike - 100 2-9,text,true,,97994,235,3,3,54,0,0
1714001837968,116,Login,200,,Spike - 100 2-8,text,true,,9118,209,3,3,116,0,0
1714001838011,85,Home,200,,Spike - 100 2-10,text,true,,9118,209,3,3,85,0,41
1714001838068,100,Add Product to Cart,200,,Spike - 100 2-9,text,true,,9792,213,3,3,100,0,0
1714001838096,106,Login,200,,Spike - 100 2-10,text,true,,9118,209,3,3,106,0,0
1714001838168,109,Add Product 2 to Cart,200,,Spike - 100 2-9,text,true,,9792,213,3,3,108,0,0
1714001838277,112,Logout,200,,Spike - 100 2-9,text,true,,9118,209,4,4,112,0,0
1714001838084,307,List Products,200,,Spike - 100 2-8,text,true,,151559,235,4,4,68,0,0
1714001838202,240,List Products,200,,Spike - 100 2-10,text,true,,112658,235,4,4,82,0,0
